#miRNA	read_count	precursor	total	seq	seq(norm)
hsa-miR-11181-3p	0.00	hsa-mir-11181	0.00	0	0
hsa-miR-11399	0.00	hsa-mir-11399	0.00	0	0
hsa-miR-11400	0.00	hsa-mir-11400	0.00	0	0
hsa-miR-11401	0.00	hsa-mir-11401	0.00	0	0
hsa-miR-1178-5p	0.00	hsa-mir-1178	0.00	0	0
hsa-miR-1178-3p	0.00	hsa-mir-1178	0.00	0	0
hsa-miR-1179	29.00	hsa-mir-1179	29.00	29.00	1.77
hsa-miR-1180-5p	4.00	hsa-mir-1180	4.00	4.00	0.24
hsa-miR-1180-3p	2229.00	hsa-mir-1180	2229.00	2229.00	135.95
hsa-miR-1181	0.00	hsa-mir-1181	0.00	0	0
hsa-miR-1182	0.00	hsa-mir-1182	0.00	0	0
hsa-miR-1183	0.00	hsa-mir-1183	0.00	0	0
hsa-miR-1184	0.00	hsa-mir-1184-1	0.00	0	0
hsa-miR-1184	0.00	hsa-mir-1184-2	0.00	0	0
hsa-miR-1184	0.00	hsa-mir-1184-3	0.00	0	0
hsa-miR-1185-5p	0.00	hsa-mir-1185-1	0.00	0	0
hsa-miR-1185-1-3p	2.00	hsa-mir-1185-1	2.00	2.00	0.12
hsa-miR-1185-5p	0.00	hsa-mir-1185-2	0.00	0	0
hsa-miR-1185-2-3p	2.00	hsa-mir-1185-2	2.00	2.00	0.12
hsa-miR-1193	0.00	hsa-mir-1193	0.00	0	0
hsa-miR-1197	3.00	hsa-mir-1197	3.00	3.00	0.18
hsa-miR-1199-5p	1.00	hsa-mir-1199	1.00	1.00	0.06
hsa-miR-1199-3p	0.00	hsa-mir-1199	0.00	0	0
hsa-miR-1200	0.00	hsa-mir-1200	0.00	0	0
hsa-miR-1202	0.00	hsa-mir-1202	0.00	0	0
hsa-miR-1203	0.00	hsa-mir-1203	0.00	0	0
hsa-miR-1204	0.00	hsa-mir-1204	0.00	0	0
hsa-miR-1205	0.00	hsa-mir-1205	0.00	0	0
hsa-miR-1206	0.00	hsa-mir-1206	0.00	0	0
hsa-miR-1207-5p	0.00	hsa-mir-1207	0.00	0	0
hsa-miR-1207-3p	0.00	hsa-mir-1207	0.00	0	0
hsa-miR-1208	0.00	hsa-mir-1208	0.00	0	0
hsa-miR-12113	0.00	hsa-mir-12113	0.00	0	0
hsa-miR-12114	1.00	hsa-mir-12114	1.00	1.00	0.06
hsa-miR-12115	0.00	hsa-mir-12115	0.00	0	0
hsa-miR-12116	0.00	hsa-mir-12116	0.00	0	0
hsa-miR-12117	0.00	hsa-mir-12117	0.00	0	0
hsa-miR-12118	0.00	hsa-mir-12118	0.00	0	0
hsa-miR-12119	0.00	hsa-mir-12119	0.00	0	0
hsa-miR-12120	0.00	hsa-mir-12120	0.00	0	0
hsa-miR-12121	0.00	hsa-mir-12121	0.00	0	0
hsa-miR-12122	0.00	hsa-mir-12122	0.00	0	0
hsa-miR-12123	0.00	hsa-mir-12123	0.00	0	0
hsa-miR-12124	0.00	hsa-mir-12124	0.00	0	0
hsa-miR-12125	2.00	hsa-mir-12125	2.00	2.00	0.12
hsa-miR-12126	0.00	hsa-mir-12126	0.00	0	0
hsa-miR-12127	0.00	hsa-mir-12127	0.00	0	0
hsa-miR-12128	0.00	hsa-mir-12128	0.00	0	0
hsa-miR-12129	0.00	hsa-mir-12129	0.00	0	0
hsa-miR-12130	0.00	hsa-mir-12130	0.00	0	0
hsa-miR-12131	0.00	hsa-mir-12131	0.00	0	0
hsa-miR-12132	0.00	hsa-mir-12132	0.00	0	0
hsa-miR-12133	0.00	hsa-mir-12133	0.00	0	0
hsa-miR-12135	2298.00	hsa-mir-12135	2298.00	2298.00	140.16
hsa-miR-12136	246.00	hsa-mir-12136	246.00	246.00	15.00
hsa-miR-122-5p	8.00	hsa-mir-122	8.00	8.00	0.49
hsa-miR-122-3p	0.00	hsa-mir-122	0.00	0	0
hsa-miR-1224-5p	1.00	hsa-mir-1224	1.00	1.00	0.06
hsa-miR-1224-3p	0.00	hsa-mir-1224	0.00	0	0
hsa-miR-1225-5p	0.00	hsa-mir-1225	0.00	0	0
hsa-miR-1225-3p	0.00	hsa-mir-1225	0.00	0	0
hsa-miR-1226-5p	5.00	hsa-mir-1226	5.00	5.00	0.30
hsa-miR-1226-3p	54.00	hsa-mir-1226	54.00	54.00	3.29
hsa-miR-1227-5p	0.00	hsa-mir-1227	0.00	0	0
hsa-miR-1227-3p	0.00	hsa-mir-1227	0.00	0	0
hsa-miR-1228-5p	1.00	hsa-mir-1228	1.00	1.00	0.06
hsa-miR-1228-3p	9.00	hsa-mir-1228	9.00	9.00	0.55
hsa-miR-1229-5p	0.00	hsa-mir-1229	0.00	0	0
hsa-miR-1229-3p	37.00	hsa-mir-1229	37.00	37.00	2.26
hsa-miR-122b-5p	3.00	hsa-mir-122b	3.00	3.00	0.18
hsa-miR-122b-3p	0.00	hsa-mir-122b	0.00	0	0
hsa-miR-1231	0.00	hsa-mir-1231	0.00	0	0
hsa-miR-1233-5p	0.00	hsa-mir-1233-1	0.00	0	0
hsa-miR-1233-3p	3.00	hsa-mir-1233-1	3.00	3.00	0.18
hsa-miR-1233-5p	0.00	hsa-mir-1233-2	0.00	0	0
hsa-miR-1233-3p	3.00	hsa-mir-1233-2	3.00	3.00	0.18
hsa-miR-1234-3p	4.00	hsa-mir-1234	4.00	4.00	0.24
hsa-miR-1236-5p	0.00	hsa-mir-1236	0.00	0	0
hsa-miR-1236-3p	2.00	hsa-mir-1236	2.00	2.00	0.12
hsa-miR-1237-5p	1.00	hsa-mir-1237	1.00	1.00	0.06
hsa-miR-1237-3p	6.00	hsa-mir-1237	6.00	6.00	0.37
hsa-miR-1238-5p	0.00	hsa-mir-1238	0.00	0	0
hsa-miR-1238-3p	1.00	hsa-mir-1238	1.00	1.00	0.06
hsa-miR-124-5p	0.00	hsa-mir-124-1	0.00	0	0
hsa-miR-124-3p	0.00	hsa-mir-124-1	0.00	0	0
hsa-miR-124-5p	0.00	hsa-mir-124-2	0.00	0	0
hsa-miR-124-3p	0.00	hsa-mir-124-2	0.00	0	0
hsa-miR-124-5p	0.00	hsa-mir-124-3	0.00	0	0
hsa-miR-124-3p	0.00	hsa-mir-124-3	0.00	0	0
hsa-miR-1243	14.00	hsa-mir-1243	14.00	14.00	0.85
hsa-miR-1244	0.00	hsa-mir-1244-1	0.00	0	0
hsa-miR-1244	0.00	hsa-mir-1244-2	0.00	0	0
hsa-miR-1244	0.00	hsa-mir-1244-3	0.00	0	0
hsa-miR-1244	0.00	hsa-mir-1244-4	0.00	0	0
hsa-miR-1245a	0.00	hsa-mir-1245a	0.00	0	0
hsa-miR-1245b-5p	0.00	hsa-mir-1245b	0.00	0	0
hsa-miR-1245b-3p	0.00	hsa-mir-1245b	0.00	0	0
hsa-miR-1246	69.00	hsa-mir-1246	69.00	69.00	4.21
hsa-miR-1247-5p	0.00	hsa-mir-1247	0.00	0	0
hsa-miR-1247-3p	0.00	hsa-mir-1247	0.00	0	0
hsa-miR-1248	1.00	hsa-mir-1248	1.00	1.00	0.06
hsa-miR-1249-5p	4.00	hsa-mir-1249	4.00	4.00	0.24
hsa-miR-1249-3p	42.00	hsa-mir-1249	42.00	42.00	2.56
hsa-miR-1250-5p	0.00	hsa-mir-1250	0.00	0	0
hsa-miR-1250-3p	0.00	hsa-mir-1250	0.00	0	0
hsa-miR-1251-5p	0.00	hsa-mir-1251	0.00	0	0
hsa-miR-1251-3p	0.00	hsa-mir-1251	0.00	0	0
hsa-miR-1252-5p	8.00	hsa-mir-1252	8.00	8.00	0.49
hsa-miR-1252-3p	1.00	hsa-mir-1252	1.00	1.00	0.06
hsa-miR-1253	0.00	hsa-mir-1253	0.00	0	0
hsa-miR-1255a	15.00	hsa-mir-1255a	15.00	15.00	0.91
hsa-miR-1255b-5p	0.00	hsa-mir-1255b-1	0.00	0	0
hsa-miR-1255b-5p	0.00	hsa-mir-1255b-2	0.00	0	0
hsa-miR-1255b-2-3p	0.00	hsa-mir-1255b-2	0.00	0	0
hsa-miR-1256	6.00	hsa-mir-1256	6.00	6.00	0.37
hsa-miR-1257	3.00	hsa-mir-1257	3.00	3.00	0.18
hsa-miR-1258	0.00	hsa-mir-1258	0.00	0	0
hsa-miR-125a-5p	105591.00	hsa-mir-125a	105591.00	105591.00	6440.23
hsa-miR-125a-3p	946.00	hsa-mir-125a	946.00	946.00	57.70
hsa-miR-125b-5p	79105.00	hsa-mir-125b-1	79105.00	79105.00	4824.79
hsa-miR-125b-1-3p	23792.00	hsa-mir-125b-1	23792.00	23792.00	1451.13
hsa-miR-125b-5p	79159.00	hsa-mir-125b-2	79159.00	79159.00	4828.09
hsa-miR-125b-2-3p	2110.00	hsa-mir-125b-2	2110.00	2110.00	128.69
hsa-miR-126-5p	3675.00	hsa-mir-126	3675.00	3675.00	224.15
hsa-miR-126-3p	391.00	hsa-mir-126	391.00	391.00	23.85
hsa-miR-1260a	11943.00	hsa-mir-1260a	11943.00	11943.00	728.43
hsa-miR-1260b	14441.00	hsa-mir-1260b	14441.00	14441.00	880.79
hsa-miR-1261	0.00	hsa-mir-1261	0.00	0	0
hsa-miR-1262	13.00	hsa-mir-1262	13.00	13.00	0.79
hsa-miR-1263	0.00	hsa-mir-1263	0.00	0	0
hsa-miR-1264	0.00	hsa-mir-1264	0.00	0	0
hsa-miR-1265	0.00	hsa-mir-1265	0.00	0	0
hsa-miR-1266-5p	6.00	hsa-mir-1266	6.00	6.00	0.37
hsa-miR-1266-3p	0.00	hsa-mir-1266	0.00	0	0
hsa-miR-1267	8.00	hsa-mir-1267	8.00	8.00	0.49
hsa-miR-1268a	2702.00	hsa-mir-1268a	2702.00	2702.00	164.80
hsa-miR-1268a	2805.00	hsa-mir-1268b	2805.00	2805.00	171.08
hsa-miR-1268b	2806.00	hsa-mir-1268b	2806.00	2806.00	171.14
hsa-miR-1269a	937.00	hsa-mir-1269a	937.00	937.00	57.15
hsa-miR-1269b	0.00	hsa-mir-1269b	0.00	0	0
hsa-miR-127-5p	0.00	hsa-mir-127	0.00	0	0
hsa-miR-127-3p	12.00	hsa-mir-127	12.00	12.00	0.73
hsa-miR-1270	66.00	hsa-mir-1270	66.00	66.00	4.03
hsa-miR-1271-5p	113.00	hsa-mir-1271	113.00	113.00	6.89
hsa-miR-1271-3p	2.00	hsa-mir-1271	2.00	2.00	0.12
hsa-miR-1272	8.00	hsa-mir-1272	8.00	8.00	0.49
hsa-miR-1273c	1.00	hsa-mir-1273c	1.00	1.00	0.06
hsa-miR-1273h-5p	2.00	hsa-mir-1273h	2.00	2.00	0.12
hsa-miR-1273h-3p	0.00	hsa-mir-1273h	0.00	0	0
hsa-miR-1275	55.00	hsa-mir-1275	55.00	55.00	3.35
hsa-miR-1276	62.00	hsa-mir-1276	62.00	62.00	3.78
hsa-miR-1277-5p	128.00	hsa-mir-1277	128.00	128.00	7.81
hsa-miR-1277-3p	7.00	hsa-mir-1277	7.00	7.00	0.43
hsa-miR-1278	19.00	hsa-mir-1278	19.00	19.00	1.16
hsa-miR-1279	0.00	hsa-mir-1279	0.00	0	0
hsa-miR-128-1-5p	921.00	hsa-mir-128-1	921.00	921.00	56.17
hsa-miR-128-3p	13880.00	hsa-mir-128-1	13880.00	13880.00	846.57
hsa-miR-128-3p	15237.00	hsa-mir-128-2	15237.00	15237.00	929.34
hsa-miR-128-2-5p	118.00	hsa-mir-128-2	118.00	118.00	7.20
hsa-miR-1281	0.00	hsa-mir-1281	0.00	0	0
hsa-miR-1282	0.00	hsa-mir-1282	0.00	0	0
hsa-miR-1283	27.00	hsa-mir-1283-1	27.00	27.00	1.65
hsa-miR-1283	27.00	hsa-mir-1283-2	27.00	27.00	1.65
hsa-miR-1284	1.00	hsa-mir-1284	1.00	1.00	0.06
hsa-miR-1285-5p	46.00	hsa-mir-1285-1	46.00	46.00	2.81
hsa-miR-1285-3p	1182.00	hsa-mir-1285-1	1182.00	1182.00	72.09
hsa-miR-1285-3p	1159.00	hsa-mir-1285-2	1159.00	1159.00	70.69
hsa-miR-1286	19.00	hsa-mir-1286	19.00	19.00	1.16
hsa-miR-1287-5p	538.00	hsa-mir-1287	538.00	538.00	32.81
hsa-miR-1287-3p	4.00	hsa-mir-1287	4.00	4.00	0.24
hsa-miR-1288-5p	1.00	hsa-mir-1288	1.00	1.00	0.06
hsa-miR-1288-3p	1.00	hsa-mir-1288	1.00	1.00	0.06
hsa-miR-1289	0.00	hsa-mir-1289-1	0.00	0	0
hsa-miR-1289	0.00	hsa-mir-1289-2	0.00	0	0
hsa-miR-129-5p	41.00	hsa-mir-129-1	41.00	41.00	2.50
hsa-miR-129-1-3p	14.00	hsa-mir-129-1	14.00	14.00	0.85
hsa-miR-129-5p	41.00	hsa-mir-129-2	41.00	41.00	2.50
hsa-miR-129-2-3p	25.00	hsa-mir-129-2	25.00	25.00	1.52
hsa-miR-1290	0.00	hsa-mir-1290	0.00	0	0
hsa-miR-1291	10.00	hsa-mir-1291	10.00	10.00	0.61
hsa-miR-1292-5p	44.00	hsa-mir-1292	44.00	44.00	2.68
hsa-miR-1292-3p	6.00	hsa-mir-1292	6.00	6.00	0.37
hsa-miR-1293	13.00	hsa-mir-1293	13.00	13.00	0.79
hsa-miR-1294	18.00	hsa-mir-1294	18.00	18.00	1.10
hsa-miR-1295a	11.00	hsa-mir-1295a	11.00	11.00	0.67
hsa-miR-1295b-5p	0.00	hsa-mir-1295b	0.00	0	0
hsa-miR-1295b-3p	0.00	hsa-mir-1295b	0.00	0	0
hsa-miR-1296-5p	279.00	hsa-mir-1296	279.00	279.00	17.02
hsa-miR-1296-3p	2.00	hsa-mir-1296	2.00	2.00	0.12
hsa-miR-1297	0.00	hsa-mir-1297	0.00	0	0
hsa-miR-1298-5p	0.00	hsa-mir-1298	0.00	0	0
hsa-miR-1298-3p	0.00	hsa-mir-1298	0.00	0	0
hsa-miR-1299	0.00	hsa-mir-1299	0.00	0	0
hsa-miR-1301-5p	0.00	hsa-mir-1301	0.00	0	0
hsa-miR-1301-3p	875.00	hsa-mir-1301	875.00	875.00	53.37
hsa-miR-1302	0.00	hsa-mir-1302-1	0.00	0	0
hsa-miR-1302	0.00	hsa-mir-1302-10	0.00	0	0
hsa-miR-1302	0.00	hsa-mir-1302-11	0.00	0	0
hsa-miR-1302	0.00	hsa-mir-1302-2	0.00	0	0
hsa-miR-1302	0.00	hsa-mir-1302-3	0.00	0	0
hsa-miR-1302	0.00	hsa-mir-1302-4	0.00	0	0
hsa-miR-1302	0.00	hsa-mir-1302-5	0.00	0	0
hsa-miR-1302	0.00	hsa-mir-1302-6	0.00	0	0
hsa-miR-1302	0.00	hsa-mir-1302-7	0.00	0	0
hsa-miR-1302	0.00	hsa-mir-1302-8	0.00	0	0
hsa-miR-1302	0.00	hsa-mir-1302-9	0.00	0	0
hsa-miR-1303	346.00	hsa-mir-1303	346.00	346.00	21.10
hsa-miR-1304-5p	18.00	hsa-mir-1304	18.00	18.00	1.10
hsa-miR-1304-3p	1656.00	hsa-mir-1304	1656.00	1656.00	101.00
hsa-miR-1305	119.00	hsa-mir-1305	119.00	119.00	7.26
hsa-miR-1306-5p	32.00	hsa-mir-1306	32.00	32.00	1.95
hsa-miR-1306-3p	23.00	hsa-mir-1306	23.00	23.00	1.40
hsa-miR-1307-5p	68621.00	hsa-mir-1307	68621.00	68621.00	4185.35
hsa-miR-1307-3p	14896.00	hsa-mir-1307	14896.00	14896.00	908.54
hsa-miR-130a-5p	12.00	hsa-mir-130a	12.00	12.00	0.73
hsa-miR-130a-3p	9331.00	hsa-mir-130a	9331.00	9331.00	569.12
hsa-miR-130b-5p	1387.00	hsa-mir-130b	1387.00	1387.00	84.60
hsa-miR-130b-3p	8081.00	hsa-mir-130b	8081.00	8081.00	492.88
hsa-miR-132-5p	147.00	hsa-mir-132	147.00	147.00	8.97
hsa-miR-132-3p	927.00	hsa-mir-132	927.00	927.00	56.54
hsa-miR-1321	0.00	hsa-mir-1321	0.00	0	0
hsa-miR-1322	26.00	hsa-mir-1322	26.00	26.00	1.59
hsa-miR-1323	10.00	hsa-mir-1323	10.00	10.00	0.61
hsa-miR-1324	0.00	hsa-mir-1324	0.00	0	0
hsa-miR-133a-5p	0.00	hsa-mir-133a-1	0.00	0	0
hsa-miR-133a-3p	2.00	hsa-mir-133a-1	2.00	2.00	0.12
hsa-miR-133a-5p	0.00	hsa-mir-133a-2	0.00	0	0
hsa-miR-133a-3p	2.00	hsa-mir-133a-2	2.00	2.00	0.12
hsa-miR-133b	2.00	hsa-mir-133b	2.00	2.00	0.12
hsa-miR-134-5p	11.00	hsa-mir-134	11.00	11.00	0.67
hsa-miR-134-3p	0.00	hsa-mir-134	0.00	0	0
hsa-miR-1343-5p	2.00	hsa-mir-1343	2.00	2.00	0.12
hsa-miR-1343-3p	70.00	hsa-mir-1343	70.00	70.00	4.27
hsa-miR-135a-5p	0.00	hsa-mir-135a-1	0.00	0	0
hsa-miR-135a-3p	0.00	hsa-mir-135a-1	0.00	0	0
hsa-miR-135a-5p	2.00	hsa-mir-135a-2	2.00	2.00	0.12
hsa-miR-135a-2-3p	0.00	hsa-mir-135a-2	0.00	0	0
hsa-miR-135b-5p	2030.00	hsa-mir-135b	2030.00	2030.00	123.81
hsa-miR-135b-3p	314.00	hsa-mir-135b	314.00	314.00	19.15
hsa-miR-136-5p	0.00	hsa-mir-136	0.00	0	0
hsa-miR-136-3p	0.00	hsa-mir-136	0.00	0	0
hsa-miR-137-5p	4.00	hsa-mir-137	4.00	4.00	0.24
hsa-miR-137-3p	6.00	hsa-mir-137	6.00	6.00	0.37
hsa-miR-138-5p	8617.00	hsa-mir-138-1	8617.00	8617.00	525.57
hsa-miR-138-1-3p	156.00	hsa-mir-138-1	156.00	156.00	9.51
hsa-miR-138-5p	8556.00	hsa-mir-138-2	8556.00	8556.00	521.85
hsa-miR-138-2-3p	0.00	hsa-mir-138-2	0.00	0	0
hsa-miR-139-5p	83.00	hsa-mir-139	83.00	83.00	5.06
hsa-miR-139-3p	5.00	hsa-mir-139	5.00	5.00	0.30
hsa-miR-140-5p	6760.00	hsa-mir-140	6760.00	6760.00	412.31
hsa-miR-140-3p	169836.00	hsa-mir-140	169836.00	169836.00	10358.68
hsa-miR-141-5p	23.00	hsa-mir-141	23.00	23.00	1.40
hsa-miR-141-3p	355.00	hsa-mir-141	355.00	355.00	21.65
hsa-miR-142-5p	33.00	hsa-mir-142	33.00	33.00	2.01
hsa-miR-142-3p	4.00	hsa-mir-142	4.00	4.00	0.24
hsa-miR-143-5p	0.00	hsa-mir-143	0.00	0	0
hsa-miR-143-3p	1490.00	hsa-mir-143	1490.00	1490.00	90.88
hsa-miR-144-5p	1.00	hsa-mir-144	1.00	1.00	0.06
hsa-miR-144-3p	0.00	hsa-mir-144	0.00	0	0
hsa-miR-145-5p	2.00	hsa-mir-145	2.00	2.00	0.12
hsa-miR-145-3p	1.00	hsa-mir-145	1.00	1.00	0.06
hsa-miR-1468-5p	89.00	hsa-mir-1468	89.00	89.00	5.43
hsa-miR-1468-3p	0.00	hsa-mir-1468	0.00	0	0
hsa-miR-1469	0.00	hsa-mir-1469	0.00	0	0
hsa-miR-146a-5p	38837.00	hsa-mir-146a	38837.00	38837.00	2368.76
hsa-miR-146a-3p	109.00	hsa-mir-146a	109.00	109.00	6.65
hsa-miR-146b-5p	6112.00	hsa-mir-146b	6112.00	6112.00	372.78
hsa-miR-146b-3p	108.00	hsa-mir-146b	108.00	108.00	6.59
hsa-miR-1470	0.00	hsa-mir-1470	0.00	0	0
hsa-miR-1471	0.00	hsa-mir-1471	0.00	0	0
hsa-miR-147a	0.00	hsa-mir-147a	0.00	0	0
hsa-miR-147b-5p	0.00	hsa-mir-147b	0.00	0	0
hsa-miR-147b-3p	34.00	hsa-mir-147b	34.00	34.00	2.07
hsa-miR-148a-5p	3070.00	hsa-mir-148a	3070.00	3070.00	187.25
hsa-miR-148a-3p	110297.00	hsa-mir-148a	110297.00	110297.00	6727.26
hsa-miR-148b-5p	5040.00	hsa-mir-148b	5040.00	5040.00	307.40
hsa-miR-148b-3p	39462.00	hsa-mir-148b	39462.00	39462.00	2406.88
hsa-miR-149-5p	2138.00	hsa-mir-149	2138.00	2138.00	130.40
hsa-miR-149-3p	5.00	hsa-mir-149	5.00	5.00	0.30
hsa-miR-150-5p	29.00	hsa-mir-150	29.00	29.00	1.77
hsa-miR-150-3p	0.00	hsa-mir-150	0.00	0	0
hsa-miR-151a-5p	78835.00	hsa-mir-151a	78835.00	78835.00	4808.33
hsa-miR-151a-3p	95106.00	hsa-mir-151a	95106.00	95106.00	5800.73
hsa-miR-151b	78757.00	hsa-mir-151a	78757.00	78757.00	4803.57
hsa-miR-151b	36913.00	hsa-mir-151b	36913.00	36913.00	2251.41
hsa-miR-152-5p	537.00	hsa-mir-152	537.00	537.00	32.75
hsa-miR-152-3p	3120.00	hsa-mir-152	3120.00	3120.00	190.30
hsa-miR-153-3p	14.00	hsa-mir-153-1	14.00	14.00	0.85
hsa-miR-153-3p	14.00	hsa-mir-153-2	14.00	14.00	0.85
hsa-miR-153-5p	0.00	hsa-mir-153-2	0.00	0	0
hsa-miR-1537-5p	11.00	hsa-mir-1537	11.00	11.00	0.67
hsa-miR-1537-3p	13.00	hsa-mir-1537	13.00	13.00	0.79
hsa-miR-1538	18.00	hsa-mir-1538	18.00	18.00	1.10
