#miRNA	read_count	precursor	total	seq	seq(norm)
hsa-miR-1182	0.00	hsa-mir-1182	0.00	0	0
hsa-miR-1183	0.00	hsa-mir-1183	0.00	0	0
hsa-miR-1184	0.00	hsa-mir-1184-1	0.00	0	0
hsa-miR-1184	0.00	hsa-mir-1184-2	0.00	0	0
hsa-miR-1184	0.00	hsa-mir-1184-3	0.00	0	0
hsa-miR-1185-5p	4.00	hsa-mir-1185-1	4.00	4.00	0.21
hsa-miR-1185-1-3p	14.00	hsa-mir-1185-1	14.00	14.00	0.72
hsa-miR-1185-5p	4.00	hsa-mir-1185-2	4.00	4.00	0.21
hsa-miR-1185-2-3p	12.00	hsa-mir-1185-2	12.00	12.00	0.62
hsa-miR-1193	0.00	hsa-mir-1193	0.00	0	0
hsa-miR-1197	6.00	hsa-mir-1197	6.00	6.00	0.31
hsa-miR-1199-5p	0.00	hsa-mir-1199	0.00	0	0
hsa-miR-1199-3p	0.00	hsa-mir-1199	0.00	0	0
hsa-miR-1200	0.00	hsa-mir-1200	0.00	0	0
hsa-miR-1202	0.00	hsa-mir-1202	0.00	0	0
hsa-miR-1203	0.00	hsa-mir-1203	0.00	0	0
hsa-miR-1204	0.00	hsa-mir-1204	0.00	0	0
hsa-miR-1205	0.00	hsa-mir-1205	0.00	0	0
hsa-miR-1206	0.00	hsa-mir-1206	0.00	0	0
hsa-miR-1207-5p	0.00	hsa-mir-1207	0.00	0	0
hsa-miR-1207-3p	0.00	hsa-mir-1207	0.00	0	0
hsa-miR-1208	0.00	hsa-mir-1208	0.00	0	0
hsa-miR-12113	0.00	hsa-mir-12113	0.00	0	0
hsa-miR-12114	0.00	hsa-mir-12114	0.00	0	0
hsa-miR-12115	0.00	hsa-mir-12115	0.00	0	0
hsa-miR-12116	0.00	hsa-mir-12116	0.00	0	0
hsa-miR-12117	0.00	hsa-mir-12117	0.00	0	0
hsa-miR-12118	0.00	hsa-mir-12118	0.00	0	0
hsa-miR-12119	0.00	hsa-mir-12119	0.00	0	0
hsa-miR-12120	0.00	hsa-mir-12120	0.00	0	0
hsa-miR-12121	0.00	hsa-mir-12121	0.00	0	0
hsa-miR-12122	0.00	hsa-mir-12122	0.00	0	0
hsa-miR-12123	0.00	hsa-mir-12123	0.00	0	0
hsa-miR-12124	0.00	hsa-mir-12124	0.00	0	0
hsa-miR-12125	1.00	hsa-mir-12125	1.00	1.00	0.05
hsa-miR-12126	0.00	hsa-mir-12126	0.00	0	0
hsa-miR-12127	0.00	hsa-mir-12127	0.00	0	0
hsa-miR-12128	0.00	hsa-mir-12128	0.00	0	0
hsa-miR-12129	0.00	hsa-mir-12129	0.00	0	0
hsa-miR-12130	0.00	hsa-mir-12130	0.00	0	0
hsa-miR-12131	0.00	hsa-mir-12131	0.00	0	0
hsa-miR-12132	0.00	hsa-mir-12132	0.00	0	0
hsa-miR-12133	0.00	hsa-mir-12133	0.00	0	0
hsa-miR-12135	2756.00	hsa-mir-12135	2756.00	2756.00	142.41
hsa-miR-12136	217.00	hsa-mir-12136	217.00	217.00	11.21
hsa-miR-122-5p	4.00	hsa-mir-122	4.00	4.00	0.21
hsa-miR-122-3p	0.00	hsa-mir-122	0.00	0	0
hsa-miR-1224-5p	1.00	hsa-mir-1224	1.00	1.00	0.05
hsa-miR-1224-3p	0.00	hsa-mir-1224	0.00	0	0
hsa-miR-1225-5p	0.00	hsa-mir-1225	0.00	0	0
hsa-miR-1225-3p	0.00	hsa-mir-1225	0.00	0	0
hsa-miR-1226-5p	15.00	hsa-mir-1226	15.00	15.00	0.78
hsa-miR-1226-3p	120.00	hsa-mir-1226	120.00	120.00	6.20
hsa-miR-1227-5p	0.00	hsa-mir-1227	0.00	0	0
hsa-miR-1227-3p	5.00	hsa-mir-1227	5.00	5.00	0.26
hsa-miR-1228-5p	5.00	hsa-mir-1228	5.00	5.00	0.26
hsa-miR-1228-3p	25.00	hsa-mir-1228	25.00	25.00	1.29
hsa-miR-1229-5p	6.00	hsa-mir-1229	6.00	6.00	0.31
hsa-miR-1229-3p	43.00	hsa-mir-1229	43.00	43.00	2.22
hsa-miR-122b-5p	0.00	hsa-mir-122b	0.00	0	0
hsa-miR-122b-3p	0.00	hsa-mir-122b	0.00	0	0
hsa-miR-1231	0.00	hsa-mir-1231	0.00	0	0
hsa-miR-1233-5p	3.00	hsa-mir-1233-1	3.00	3.00	0.16
hsa-miR-1233-3p	10.00	hsa-mir-1233-1	10.00	10.00	0.52
hsa-miR-1233-5p	3.00	hsa-mir-1233-2	3.00	3.00	0.16
hsa-miR-1233-3p	10.00	hsa-mir-1233-2	10.00	10.00	0.52
hsa-miR-1234-3p	6.00	hsa-mir-1234	6.00	6.00	0.31
hsa-miR-1236-5p	0.00	hsa-mir-1236	0.00	0	0
hsa-miR-1236-3p	5.00	hsa-mir-1236	5.00	5.00	0.26
hsa-miR-1237-5p	1.00	hsa-mir-1237	1.00	1.00	0.05
hsa-miR-1237-3p	7.00	hsa-mir-1237	7.00	7.00	0.36
hsa-miR-1238-5p	0.00	hsa-mir-1238	0.00	0	0
hsa-miR-1238-3p	0.00	hsa-mir-1238	0.00	0	0
hsa-miR-124-5p	0.00	hsa-mir-124-1	0.00	0	0
hsa-miR-124-3p	1.00	hsa-mir-124-1	1.00	1.00	0.05
hsa-miR-124-5p	0.00	hsa-mir-124-2	0.00	0	0
hsa-miR-124-3p	1.00	hsa-mir-124-2	1.00	1.00	0.05
hsa-miR-124-5p	0.00	hsa-mir-124-3	0.00	0	0
hsa-miR-124-3p	1.00	hsa-mir-124-3	1.00	1.00	0.05
hsa-miR-1243	22.00	hsa-mir-1243	22.00	22.00	1.14
hsa-miR-1244	0.00	hsa-mir-1244-1	0.00	0	0
hsa-miR-1244	0.00	hsa-mir-1244-2	0.00	0	0
hsa-miR-1244	0.00	hsa-mir-1244-3	0.00	0	0
hsa-miR-1244	0.00	hsa-mir-1244-4	0.00	0	0
hsa-miR-1245a	0.00	hsa-mir-1245a	0.00	0	0
hsa-miR-1245b-5p	0.00	hsa-mir-1245b	0.00	0	0
hsa-miR-1245b-3p	0.00	hsa-mir-1245b	0.00	0	0
hsa-miR-1246	121.00	hsa-mir-1246	121.00	121.00	6.25
hsa-miR-1247-5p	0.00	hsa-mir-1247	0.00	0	0
hsa-miR-1247-3p	0.00	hsa-mir-1247	0.00	0	0
hsa-miR-1248	0.00	hsa-mir-1248	0.00	0	0
hsa-miR-1249-5p	3.00	hsa-mir-1249	3.00	3.00	0.16
hsa-miR-1249-3p	60.00	hsa-mir-1249	60.00	60.00	3.10
hsa-miR-1250-5p	3.00	hsa-mir-1250	3.00	3.00	0.16
hsa-miR-1250-3p	0.00	hsa-mir-1250	0.00	0	0
hsa-miR-1251-5p	0.00	hsa-mir-1251	0.00	0	0
hsa-miR-1251-3p	0.00	hsa-mir-1251	0.00	0	0
hsa-miR-1252-5p	14.00	hsa-mir-1252	14.00	14.00	0.72
hsa-miR-1252-3p	0.00	hsa-mir-1252	0.00	0	0
hsa-miR-1253	0.00	hsa-mir-1253	0.00	0	0
hsa-miR-1255a	32.00	hsa-mir-1255a	32.00	32.00	1.65
hsa-miR-1255b-5p	4.00	hsa-mir-1255b-1	4.00	4.00	0.21
hsa-miR-1255b-5p	4.00	hsa-mir-1255b-2	4.00	4.00	0.21
hsa-miR-1255b-2-3p	0.00	hsa-mir-1255b-2	0.00	0	0
hsa-miR-1256	15.00	hsa-mir-1256	15.00	15.00	0.78
hsa-miR-1257	13.00	hsa-mir-1257	13.00	13.00	0.67
hsa-miR-1258	0.00	hsa-mir-1258	0.00	0	0
hsa-miR-125a-5p	148788.00	hsa-mir-125a	148788.00	148788.00	7688.44
hsa-miR-125a-3p	1151.00	hsa-mir-125a	1151.00	1151.00	59.48
hsa-miR-125b-5p	114623.00	hsa-mir-125b-1	114623.00	114623.00	5923.01
hsa-miR-125b-1-3p	40548.00	hsa-mir-125b-1	40548.00	40548.00	2095.27
hsa-miR-125b-5p	114700.00	hsa-mir-125b-2	114700.00	114700.00	5926.99
hsa-miR-125b-2-3p	2499.00	hsa-mir-125b-2	2499.00	2499.00	129.13
hsa-miR-126-5p	4273.00	hsa-mir-126	4273.00	4273.00	220.80
hsa-miR-126-3p	493.00	hsa-mir-126	493.00	493.00	25.48
hsa-miR-1260a	7404.00	hsa-mir-1260a	7404.00	7404.00	382.59
hsa-miR-1260b	8962.00	hsa-mir-1260b	8962.00	8962.00	463.10
hsa-miR-1261	0.00	hsa-mir-1261	0.00	0	0
hsa-miR-1262	16.00	hsa-mir-1262	16.00	16.00	0.83
hsa-miR-1263	0.00	hsa-mir-1263	0.00	0	0
hsa-miR-1264	0.00	hsa-mir-1264	0.00	0	0
hsa-miR-1265	0.00	hsa-mir-1265	0.00	0	0
hsa-miR-1266-5p	7.00	hsa-mir-1266	7.00	7.00	0.36
hsa-miR-1266-3p	0.00	hsa-mir-1266	0.00	0	0
hsa-miR-1267	2.00	hsa-mir-1267	2.00	2.00	0.10
hsa-miR-1268a	2505.00	hsa-mir-1268a	2505.00	2505.00	129.44
hsa-miR-1268a	2580.00	hsa-mir-1268b	2580.00	2580.00	133.32
hsa-miR-1268b	2581.00	hsa-mir-1268b	2581.00	2581.00	133.37
hsa-miR-1269a	427.00	hsa-mir-1269a	427.00	427.00	22.06
hsa-miR-1269b	0.00	hsa-mir-1269b	0.00	0	0
hsa-miR-127-5p	0.00	hsa-mir-127	0.00	0	0
hsa-miR-127-3p	29.00	hsa-mir-127	29.00	29.00	1.50
hsa-miR-1270	106.00	hsa-mir-1270	106.00	106.00	5.48
hsa-miR-1271-5p	139.00	hsa-mir-1271	139.00	139.00	7.18
hsa-miR-1271-3p	1.00	hsa-mir-1271	1.00	1.00	0.05
hsa-miR-1272	48.00	hsa-mir-1272	48.00	48.00	2.48
hsa-miR-1273c	1.00	hsa-mir-1273c	1.00	1.00	0.05
hsa-miR-1273h-5p	2.00	hsa-mir-1273h	2.00	2.00	0.10
hsa-miR-1273h-3p	0.00	hsa-mir-1273h	0.00	0	0
hsa-miR-1275	90.00	hsa-mir-1275	90.00	90.00	4.65
hsa-miR-1276	169.00	hsa-mir-1276	169.00	169.00	8.73
hsa-miR-1277-5p	165.00	hsa-mir-1277	165.00	165.00	8.53
hsa-miR-1277-3p	9.00	hsa-mir-1277	9.00	9.00	0.47
hsa-miR-1278	19.00	hsa-mir-1278	19.00	19.00	0.98
hsa-miR-1279	0.00	hsa-mir-1279	0.00	0	0
hsa-miR-128-1-5p	1103.00	hsa-mir-128-1	1103.00	1103.00	57.00
hsa-miR-128-3p	17268.00	hsa-mir-128-1	17268.00	17268.00	892.30
hsa-miR-128-3p	17952.00	hsa-mir-128-2	17952.00	17952.00	927.65
hsa-miR-128-2-5p	202.00	hsa-mir-128-2	202.00	202.00	10.44
hsa-miR-1281	0.00	hsa-mir-1281	0.00	0	0
hsa-miR-1282	0.00	hsa-mir-1282	0.00	0	0
hsa-miR-1283	115.00	hsa-mir-1283-1	115.00	115.00	5.94
hsa-miR-1283	115.00	hsa-mir-1283-2	115.00	115.00	5.94
hsa-miR-1284	8.00	hsa-mir-1284	8.00	8.00	0.41
hsa-miR-1285-5p	86.00	hsa-mir-1285-1	86.00	86.00	4.44
hsa-miR-1285-3p	1430.00	hsa-mir-1285-1	1430.00	1430.00	73.89
hsa-miR-1285-3p	1407.00	hsa-mir-1285-2	1407.00	1407.00	72.71
hsa-miR-1286	35.00	hsa-mir-1286	35.00	35.00	1.81
hsa-miR-1287-5p	445.00	hsa-mir-1287	445.00	445.00	22.99
hsa-miR-1287-3p	0.00	hsa-mir-1287	0.00	0	0
hsa-miR-1288-5p	0.00	hsa-mir-1288	0.00	0	0
hsa-miR-1288-3p	0.00	hsa-mir-1288	0.00	0	0
hsa-miR-1289	0.00	hsa-mir-1289-1	0.00	0	0
hsa-miR-1289	0.00	hsa-mir-1289-2	0.00	0	0
hsa-miR-129-5p	58.00	hsa-mir-129-1	58.00	58.00	3.00
hsa-miR-129-1-3p	3.00	hsa-mir-129-1	3.00	3.00	0.16
hsa-miR-129-5p	58.00	hsa-mir-129-2	58.00	58.00	3.00
hsa-miR-129-2-3p	17.00	hsa-mir-129-2	17.00	17.00	0.88
hsa-miR-1290	1.00	hsa-mir-1290	1.00	1.00	0.05
hsa-miR-1291	15.00	hsa-mir-1291	15.00	15.00	0.78
hsa-miR-1292-5p	73.00	hsa-mir-1292	73.00	73.00	3.77
hsa-miR-1292-3p	8.00	hsa-mir-1292	8.00	8.00	0.41
hsa-miR-1293	21.00	hsa-mir-1293	21.00	21.00	1.09
hsa-miR-1294	14.00	hsa-mir-1294	14.00	14.00	0.72
hsa-miR-1295a	9.00	hsa-mir-1295a	9.00	9.00	0.47
hsa-miR-1295b-5p	0.00	hsa-mir-1295b	0.00	0	0
hsa-miR-1295b-3p	0.00	hsa-mir-1295b	0.00	0	0
hsa-miR-1296-5p	303.00	hsa-mir-1296	303.00	303.00	15.66
hsa-miR-1296-3p	8.00	hsa-mir-1296	8.00	8.00	0.41
hsa-miR-1297	0.00	hsa-mir-1297	0.00	0	0
hsa-miR-1298-5p	0.00	hsa-mir-1298	0.00	0	0
hsa-miR-1298-3p	0.00	hsa-mir-1298	0.00	0	0
hsa-miR-1299	0.00	hsa-mir-1299	0.00	0	0
hsa-miR-1301-5p	1.00	hsa-mir-1301	1.00	1.00	0.05
hsa-miR-1301-3p	1146.00	hsa-mir-1301	1146.00	1146.00	59.22
hsa-miR-1302	1.00	hsa-mir-1302-1	1.00	1.00	0.05
hsa-miR-1302	1.00	hsa-mir-1302-10	1.00	1.00	0.05
hsa-miR-1302	1.00	hsa-mir-1302-11	1.00	1.00	0.05
hsa-miR-1302	1.00	hsa-mir-1302-2	1.00	1.00	0.05
hsa-miR-1302	1.00	hsa-mir-1302-3	1.00	1.00	0.05
hsa-miR-1302	1.00	hsa-mir-1302-4	1.00	1.00	0.05
hsa-miR-1302	1.00	hsa-mir-1302-5	1.00	1.00	0.05
hsa-miR-1302	1.00	hsa-mir-1302-6	1.00	1.00	0.05
hsa-miR-1302	1.00	hsa-mir-1302-7	1.00	1.00	0.05
hsa-miR-1302	1.00	hsa-mir-1302-8	1.00	1.00	0.05
hsa-miR-1302	1.00	hsa-mir-1302-9	1.00	1.00	0.05
hsa-miR-1303	521.00	hsa-mir-1303	521.00	521.00	26.92
hsa-miR-1304-5p	25.00	hsa-mir-1304	25.00	25.00	1.29
hsa-miR-1304-3p	1939.00	hsa-mir-1304	1939.00	1939.00	100.20
hsa-miR-1305	184.00	hsa-mir-1305	184.00	184.00	9.51
hsa-miR-1306-5p	44.00	hsa-mir-1306	44.00	44.00	2.27
hsa-miR-1306-3p	23.00	hsa-mir-1306	23.00	23.00	1.19
hsa-miR-1307-5p	82928.00	hsa-mir-1307	82928.00	82928.00	4285.21
hsa-miR-1307-3p	19711.00	hsa-mir-1307	19711.00	19711.00	1018.54
hsa-miR-130a-5p	23.00	hsa-mir-130a	23.00	23.00	1.19
hsa-miR-130a-3p	18322.00	hsa-mir-130a	18322.00	18322.00	946.77
hsa-miR-130b-5p	2324.00	hsa-mir-130b	2324.00	2324.00	120.09
hsa-miR-130b-3p	11917.00	hsa-mir-130b	11917.00	11917.00	615.80
hsa-miR-132-5p	164.00	hsa-mir-132	164.00	164.00	8.47
hsa-miR-132-3p	1234.00	hsa-mir-132	1234.00	1234.00	63.77
hsa-miR-1321	1.00	hsa-mir-1321	1.00	1.00	0.05
hsa-miR-1322	24.00	hsa-mir-1322	24.00	24.00	1.24
hsa-miR-1323	41.00	hsa-mir-1323	41.00	41.00	2.12
hsa-miR-1324	0.00	hsa-mir-1324	0.00	0	0
hsa-miR-133a-5p	1.00	hsa-mir-133a-1	1.00	1.00	0.05
hsa-miR-133a-3p	26.00	hsa-mir-133a-1	26.00	26.00	1.34
hsa-miR-133a-5p	1.00	hsa-mir-133a-2	1.00	1.00	0.05
hsa-miR-133a-3p	26.00	hsa-mir-133a-2	26.00	26.00	1.34
hsa-miR-133b	3.00	hsa-mir-133b	3.00	3.00	0.16
hsa-miR-134-5p	21.00	hsa-mir-134	21.00	21.00	1.09
hsa-miR-134-3p	0.00	hsa-mir-134	0.00	0	0
hsa-miR-1343-5p	5.00	hsa-mir-1343	5.00	5.00	0.26
hsa-miR-1343-3p	60.00	hsa-mir-1343	60.00	60.00	3.10
hsa-miR-135a-5p	1.00	hsa-mir-135a-1	1.00	1.00	0.05
hsa-miR-135a-3p	0.00	hsa-mir-135a-1	0.00	0	0
hsa-miR-135a-5p	2.00	hsa-mir-135a-2	2.00	2.00	0.10
hsa-miR-135a-2-3p	0.00	hsa-mir-135a-2	0.00	0	0
hsa-miR-135b-5p	2249.00	hsa-mir-135b	2249.00	2249.00	116.21
hsa-miR-135b-3p	520.00	hsa-mir-135b	520.00	520.00	26.87
hsa-miR-136-5p	0.00	hsa-mir-136	0.00	0	0
hsa-miR-136-3p	3.00	hsa-mir-136	3.00	3.00	0.16
hsa-miR-137-5p	0.00	hsa-mir-137	0.00	0	0
hsa-miR-137-3p	15.00	hsa-mir-137	15.00	15.00	0.78
hsa-miR-138-5p	10815.00	hsa-mir-138-1	10815.00	10815.00	558.85
hsa-miR-138-1-3p	263.00	hsa-mir-138-1	263.00	263.00	13.59
hsa-miR-138-5p	10764.00	hsa-mir-138-2	10764.00	10764.00	556.22
hsa-miR-138-2-3p	0.00	hsa-mir-138-2	0.00	0	0
hsa-miR-139-5p	356.00	hsa-mir-139	356.00	356.00	18.40
hsa-miR-139-3p	32.00	hsa-mir-139	32.00	32.00	1.65
hsa-miR-140-5p	8353.00	hsa-mir-140	8353.00	8353.00	431.63
hsa-miR-140-3p	140164.00	hsa-mir-140	140164.00	140164.00	7242.81
hsa-miR-141-5p	44.00	hsa-mir-141	44.00	44.00	2.27
hsa-miR-141-3p	560.00	hsa-mir-141	560.00	560.00	28.94
hsa-miR-142-5p	41.00	hsa-mir-142	41.00	41.00	2.12
hsa-miR-142-3p	8.00	hsa-mir-142	8.00	8.00	0.41
hsa-miR-143-5p	0.00	hsa-mir-143	0.00	0	0
hsa-miR-143-3p	2015.00	hsa-mir-143	2015.00	2015.00	104.12
hsa-miR-144-5p	6.00	hsa-mir-144	6.00	6.00	0.31
hsa-miR-144-3p	0.00	hsa-mir-144	0.00	0	0
hsa-miR-145-5p	6.00	hsa-mir-145	6.00	6.00	0.31
hsa-miR-145-3p	6.00	hsa-mir-145	6.00	6.00	0.31
hsa-miR-1468-5p	66.00	hsa-mir-1468	66.00	66.00	3.41
hsa-miR-1468-3p	0.00	hsa-mir-1468	0.00	0	0
hsa-miR-1469	0.00	hsa-mir-1469	0.00	0	0
hsa-miR-146a-5p	28038.00	hsa-mir-146a	28038.00	28038.00	1448.83
hsa-miR-146a-3p	101.00	hsa-mir-146a	101.00	101.00	5.22
hsa-miR-146b-5p	8038.00	hsa-mir-146b	8038.00	8038.00	415.35
hsa-miR-146b-3p	225.00	hsa-mir-146b	225.00	225.00	11.63
hsa-miR-1470	0.00	hsa-mir-1470	0.00	0	0
hsa-miR-1471	0.00	hsa-mir-1471	0.00	0	0
hsa-miR-147a	0.00	hsa-mir-147a	0.00	0	0
hsa-miR-147b-5p	3.00	hsa-mir-147b	3.00	3.00	0.16
hsa-miR-147b-3p	67.00	hsa-mir-147b	67.00	67.00	3.46
hsa-miR-148a-5p	2732.00	hsa-mir-148a	2732.00	2732.00	141.17
hsa-miR-148a-3p	83688.00	hsa-mir-148a	83688.00	83688.00	4324.48
hsa-miR-148b-5p	6142.00	hsa-mir-148b	6142.00	6142.00	317.38
hsa-miR-148b-3p	27395.00	hsa-mir-148b	27395.00	27395.00	1415.60
hsa-miR-149-5p	2093.00	hsa-mir-149	2093.00	2093.00	108.15
hsa-miR-149-3p	4.00	hsa-mir-149	4.00	4.00	0.21
hsa-miR-150-5p	61.00	hsa-mir-150	61.00	61.00	3.15
hsa-miR-150-3p	3.00	hsa-mir-150	3.00	3.00	0.16
hsa-miR-151a-5p	99429.00	hsa-mir-151a	99429.00	99429.00	5137.87
hsa-miR-151a-3p	107649.00	hsa-mir-151a	107649.00	107649.00	5562.63
hsa-miR-151b	99326.00	hsa-mir-151a	99326.00	99326.00	5132.55
hsa-miR-151b	41916.00	hsa-mir-151b	41916.00	41916.00	2165.96
hsa-miR-152-5p	265.00	hsa-mir-152	265.00	265.00	13.69
hsa-miR-152-3p	2105.00	hsa-mir-152	2105.00	2105.00	108.77
hsa-miR-153-3p	24.00	hsa-mir-153-1	24.00	24.00	1.24
hsa-miR-153-3p	24.00	hsa-mir-153-2	24.00	24.00	1.24
hsa-miR-153-5p	0.00	hsa-mir-153-2	0.00	0	0
